timestamp,local_timestamp,roll,pitch,yaw,P_alt,Alt,ax,ay,az,lat,lon,temp,pressure,vel_n,vel_e,vel_d,ejection
32,1752848597.320404,3.63,-0.91,0.01,0.0,0.0,-0.04,0.03,0.98,0.0,0.0,23.28,1004.91,0.0,0.0,0.0,0
84,1752848597.4056387,3.63,-0.92,0.01,0.0,0.0,-0.04,0.04,0.98,0.0,0.0,23.28,1004.91,0.0,0.0,0.0,0
161,1752848597.5956051,3.63,-0.92,0.01,655.11,0.0,-0.04,0.05,0.99,0.0,0.0,23.23,1004.94,0.0,0.0,0.0,0
248,1752848597.7848947,3.64,-0.92,0.01,655.04,0.0,-0.04,0.05,0.99,0.0,0.0,23.2,1004.95,0.0,0.0,0.0,0
274,1752848597.9649851,3.64,-0.92,0.01,655.04,0.0,-0.04,0.05,0.99,0.0,0.0,23.2,1004.95,0.0,0.0,0.0,0
355,1752848598.1637948,3.55,-1.16,0.06,655.0,0.0,-0.04,0.04,0.98,0.0,0.0,23.19,1004.96,0.0,0.0,0.0,0
560,1752848598.3525372,3.55,-1.16,0.06,655.04,0.0,-0.05,0.04,0.99,0.0,0.0,23.18,1004.95,0.0,0.0,0.0,0
791,1752848598.5420506,3.54,-1.16,0.08,655.06,0.0,-0.05,0.04,0.99,0.0,0.0,23.17,1004.95,0.0,0.0,0.0,0
936,1752848598.7213645,3.54,-1.16,0.09,655.04,0.0,-0.05,0.04,0.98,0.0,0.0,23.17,1004.95,0.0,0.0,0.0,0
1152,1752848598.9117486,3.54,-1.15,0.11,655.04,0.0,-0.04,0.04,0.98,0.0,0.0,23.17,1004.95,0.0,0.0,0.0,0
1351,1752848599.1114762,3.47,-1.14,0.09,655.02,0.0,-0.02,-0.01,0.95,0.0,0.0,23.17,1004.95,0.0,0.0,0.0,0
1524,1752848599.3033235,3.56,-1.19,0.23,655.09,0.0,-0.08,0.12,1.0,0.0,0.0,23.17,1004.95,0.0,0.0,0.0,0
1693,1752848599.48099,3.53,-1.16,0.2,655.12,0.0,-0.05,0.05,0.99,0.0,0.0,23.18,1004.94,0.0,0.0,0.0,0
1923,1752848599.6789098,3.56,-1.2,0.27,655.13,0.0,-0.05,0.06,0.99,0.0,0.0,23.18,1004.94,0.0,0.0,0.0,0
2049,1752848599.8699782,3.52,-1.19,0.26,655.15,0.0,-0.04,0.03,0.98,0.0,0.0,23.18,1004.94,0.0,0.0,0.0,0
2309,1752848600.059524,3.55,-1.19,0.34,655.16,0.0,-0.05,0.04,0.99,0.0,0.0,23.18,1004.94,0.0,0.0,0.0,0
2441,1752848600.2368336,3.55,-1.19,0.34,655.19,0.0,-0.05,0.04,0.99,0.0,0.0,23.18,1004.93,0.0,0.0,0.0,0
2631,1752848600.4353595,3.54,-1.2,0.37,655.16,0.0,-0.04,0.03,0.98,0.0,0.0,23.18,1004.94,0.0,0.0,0.0,0
2853,1752848600.6244452,3.54,-1.16,0.39,655.18,0.0,-0.04,0.04,0.98,0.0,0.0,23.18,1004.94,0.0,0.0,0.0,0
3021,1752848600.8123515,3.54,-1.17,0.39,655.27,0.0,-0.05,0.04,0.98,0.0,0.0,23.19,1004.93,0.0,0.0,0.0,0
3235,1752848601.0021856,3.54,-1.17,0.4,655.22,0.0,-0.04,0.03,0.98,0.0,0.0,23.18,1004.93,0.0,0.0,0.0,0
3375,1752848601.1918435,3.54,-1.2,0.4,655.21,0.0,-0.04,0.03,0.98,0.0,0.0,23.17,1004.93,0.0,0.0,0.0,0
3580,1752848601.3811653,3.51,-1.21,0.47,655.16,0.0,-0.04,-0.03,0.98,0.0,0.0,23.16,1004.94,0.0,0.0,0.0,0
3785,1752848601.5708423,3.15,-2.87,-0.74,655.19,0.0,-0.09,0.11,1.34,0.0,0.0,23.17,1004.93,0.0,0.0,0.0,0
3965,1752848601.7496483,3.15,-2.87,-0.74,655.3,0.0,-0.09,0.11,1.34,0.0,0.0,23.19,1004.92,0.0,0.0,0.0,0
4134,1752848601.9496062,2.9,-2.92,-1.67,655.3,0.0,-0.01,0.05,0.96,0.0,0.0,23.19,1004.92,0.0,0.0,0.0,0
4348,1752848602.138158,3.12,-2.69,-2.33,655.25,0.0,-0.07,0.12,1.05,0.0,0.0,23.18,1004.93,0.0,0.0,0.0,0
4557,1752848602.3274426,3.78,-0.16,-12.05,655.2,0.0,0.0,0.03,0.95,0.0,0.0,23.17,1004.93,0.0,0.0,0.0,0
4783,1752848602.5183065,3.8,-0.62,-30.42,655.21,0.0,-0.04,0.04,1.02,0.0,0.0,23.18,1004.93,0.0,0.0,0.0,0
4897,1752848602.7084792,3.8,-0.62,-30.42,655.19,0.0,-0.04,0.04,1.02,0.0,0.0,23.18,1004.93,0.0,0.0,0.0,0
5114,1752848602.8976796,3.16,-0.89,-29.92,655.25,0.0,-0.04,0.03,0.99,0.0,0.0,23.19,1004.93,0.0,0.0,0.0,0
5329,1752848603.0876179,2.6,-1.56,-23.37,655.25,0.0,0.03,0.15,0.97,0.0,0.0,23.19,1004.93,0.0,0.0,0.0,0
5533,1752848603.2766476,2.59,-1.84,-17.16,655.28,0.0,-0.1,0.05,1.05,0.0,0.0,23.2,1004.92,0.0,0.0,0.0,0
5716,1752848603.455894,2.69,-2.29,-11.79,655.27,0.0,-0.04,0.02,1.02,0.0,0.0,23.19,1004.93,0.0,0.0,0.0,0
5848,1752848603.6565182,2.32,-2.04,3.89,655.25,0.0,0.0,0.01,0.88,0.0,0.0,23.19,1004.93,0.0,0.0,0.0,0
6046,1752848603.846178,2.34,-2.4,16.5,655.23,0.0,-0.09,0.0,0.97,0.0,0.0,23.18,1004.93,0.0,0.0,0.0,0
6243,1752848604.0479712,2.48,-2.4,24.26,655.21,0.0,0.09,0.14,0.86,0.0,0.0,23.18,1004.93,0.0,0.0,0.0,0
6441,1752848604.2289147,2.33,-2.63,24.48,655.27,0.0,-0.05,0.0,0.98,0.0,0.0,23.19,1004.93,0.0,0.0,0.0,0
6648,1752848604.413952,2.34,-2.75,24.73,655.29,0.0,-0.06,0.03,0.99,0.0,0.0,23.19,1004.92,0.0,0.0,0.0,0
6809,1752848604.615073,2.38,-2.76,24.57,655.2,0.0,-0.07,0.02,0.98,0.0,0.0,23.17,1004.93,0.0,0.0,0.0,0
7016,1752848604.803778,2.08,-2.96,23.44,655.2,0.0,-0.04,0.0,0.98,0.0,0.0,23.18,1004.93,0.0,0.0,0.0,0
7185,1752848604.9823287,2.34,-2.51,20.72,655.29,0.0,-0.07,0.0,1.01,0.0,0.0,23.19,1004.92,0.0,0.0,0.0,0
7393,1752848605.1826549,2.5,-2.33,15.22,655.32,0.0,-0.04,-0.02,1.0,0.0,0.0,23.2,1004.92,0.0,0.0,0.0,0
7581,1752848605.37201,2.62,-2.0,14.5,655.28,0.0,-0.05,0.02,0.98,0.0,0.0,23.19,1004.92,0.0,0.0,0.0,0
7776,1752848605.561031,2.64,-1.92,13.89,655.27,0.0,-0.05,0.02,0.98,0.0,0.0,23.2,1004.93,0.0,0.0,0.0,0
7939,1752848605.7506573,2.65,-1.92,13.88,655.3,0.0,-0.05,0.02,0.98,0.0,0.0,23.2,1004.92,0.0,0.0,0.0,0
8117,1752848605.941522,2.66,-1.91,13.79,655.24,0.0,-0.05,0.02,0.99,0.0,0.0,23.19,1004.93,0.0,0.0,0.0,0
8308,1752848606.13022,2.67,-1.89,13.72,655.24,0.0,-0.04,0.02,0.98,0.0,0.0,23.18,1004.93,0.0,0.0,0.0,0
