[Description]
Chute 0:,Not Ejected,Chute 1:,Attitude,Chute 2:,Altitude,Chute 3:,Timer,Chute 4:,Remote Forced
Launch 0:,Not Launched,Launch 1:,Launched
[Data]
TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz,Roll,Pitch,Yaw,maxG,T,P,P_alt,fix,Lon,Lat,Alt,VN,VE,VD,Chute,Launch,Canard1,Canard2,Canard3,Canard4
9,-0.18,-0.03,0.97,-0.40,-0.30,-0.60,41.30,0.40,-40.80,2.34,10.01,-0.30,0.97,42.41,1006.13,-0.02,0,0.0000000,0.0000000,0.00,0.00,0.00,0.00,0,0,1500,1500,1560,1530
24,-0.18,-0.04,0.97,-0.40,-0.40,-0.70,41.30,0.30,-40.60,2.34,10.01,-0.29,0.97,42.41,1006.13,-0.02,3,126.7849274,37.3936195,30.59,0.01,0.02,0.05,0,0,1500,1500,1560,1530
38,-0.18,-0.04,0.97,-0.40,-0.50,-0.90,41.10,0.40,-40.20,2.35,10.01,-0.29,0.97,42.41,1006.13,-0.02,3,126.7849274,37.3936195,30.59,0.01,0.02,0.05,0,0,1500,1500,1560,1530
53,-0.18,-0.04,0.97,-0.40,-0.40,-0.90,41.20,0.40,-40.00,2.36,10.01,-0.28,0.97,42.41,1006.13,-0.02,3,126.7849274,37.3936195,30.59,0.01,0.02,0.05,0,0,1500,1500,1560,1530
68,-0.18,-0.04,0.97,-0.30,-0.40,-0.70,40.90,0.40,-39.90,2.36,10.01,-0.28,0.97,42.41,1006.13,-0.02,3,126.7849274,37.3936195,30.56,0.02,0.00,0.02,0,0,1500,1500,1560,1530
297,-0.18,-0.03,0.97,-0.10,-0.50,-0.20,39.80,0.00,-39.60,2.37,10.02,-0.36,0.98,42.33,1006.17,-0.36,3,126.7849274,37.3936195,30.56,0.02,0.00,0.02,0,0,1500,1500,1560,1530
370,-0.18,-0.04,0.97,-0.10,-0.30,-0.30,40.00,1.20,-44.10,2.37,10.02,-0.38,0.98,42.33,1006.18,-0.37,3,126.7849274,37.3936195,30.56,0.02,0.00,0.02,0,0,1500,1500,1560,1530
449,-0.18,-0.04,0.97,0.00,-0.30,-0.10,40.10,1.60,-44.50,2.38,10.02,-0.29,0.98,42.33,1006.17,-0.35,3,126.7849274,37.3936195,30.55,0.01,0.01,0.04,0,0,1500,1500,1560,1530
522,-0.18,-0.04,0.97,0.00,-0.40,-0.20,41.20,2.30,-44.00,2.38,10.02,-0.06,0.98,42.33,1006.17,-0.31,3,126.7849274,37.3936195,30.55,0.01,0.01,0.04,0,0,1500,1500,1560,1530
600,-0.18,-0.04,0.97,0.00,-0.30,-0.20,41.50,2.40,-44.00,2.38,10.02,0.06,0.98,42.34,1006.17,-0.30,3,126.7849274,37.3936195,30.55,0.01,0.01,0.04,0,0,1500,1500,1560,1530
674,-0.18,-0.03,0.97,0.00,0.00,0.00,41.80,2.70,-41.70,2.38,10.02,0.28,0.98,42.35,1006.16,-0.27,3,126.7849274,37.3936195,30.55,0.01,0.01,0.04,0,0,1500,1500,1560,1530
748,-0.18,-0.03,0.97,0.00,-0.30,-0.10,41.30,2.60,-39.80,2.37,10.02,0.53,0.98,42.35,1006.16,-0.24,3,126.7849274,37.3936195,30.52,0.02,-0.00,0.07,0,0,1500,1500,1560,1530
827,-0.18,-0.03,0.97,0.00,-0.40,-0.30,41.20,1.70,-39.50,2.37,10.03,0.61,0.98,42.35,1006.16,-0.23,3,126.7849274,37.3936195,30.52,0.02,-0.00,0.07,0,0,1500,1500,1560,1530
900,-0.18,-0.04,0.97,-0.10,-0.30,-0.10,40.30,1.50,-39.10,2.37,10.02,0.71,0.98,42.36,1006.16,-0.21,3,126.7849274,37.3936195,30.52,0.02,-0.00,0.07,0,0,1500,1500,1560,1530
989,-0.18,-0.04,0.97,0.00,-0.30,-0.20,40.70,1.50,-38.80,2.38,10.02,0.80,0.98,42.36,1006.16,-0.21,3,126.7849274,37.3936195,30.51,0.02,0.01,0.00,0,0,1500,1500,1560,1530
