local_timestamp,connect_timestamp,flight_timestamp,raw_packet_timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,roll,pitch,yaw,max_g,temp,pressure,P_alt,lon,lat,Alt,vel_n,vel_e,vel_d,fix_type,ejection,launch
1753197479.625995,0.2250211238861084,0.0,2035428,0.0,0.0,0.99,0.0,0.0,0.0,26.1,25.0,-38.6,-0.17,0.03,42.49,0,23.03,1011.48,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197479.726511,0.32553720474243164,0.085,2035513,0.0,0.0,0.99,0.0,0.0,0.0,26.2,24.9,-38.7,-0.17,0.03,42.49,0,23.04,1011.48,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197479.952651,0.5516772270202637,0.156,2035584,0.0,0.0,0.99,0.0,0.0,0.0,26.2,24.9,-38.7,-0.17,0.03,42.49,0,23.05,1011.48,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197480.058218,0.6572442054748535,0.232,2035660,0.0,0.0,0.99,0.0,0.0,0.0,26.1,25.0,-38.5,-0.17,0.03,42.49,0,23.05,1011.47,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197480.2867546,0.8857808113098145,0.351,2035779,0.0,0.0,0.99,0.0,0.0,0.0,26.2,25.0,-38.2,-0.17,0.03,42.49,0,23.06,1011.47,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197480.3915172,0.9905433654785156,0.431,2035859,0.0,0.0,0.99,0.0,0.0,0.0,26.2,25.0,-38.2,-0.17,0.03,42.49,0,23.05,1011.47,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197480.4866796,1.0857057571411133,0.458,2035886,0.0,0.0,0.99,0.0,0.0,0.0,26.2,25.0,-38.2,-0.17,0.03,42.49,0,23.05,1011.47,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197480.847231,1.4462571144104004,0.544,2035972,0.0,0.0,0.99,0.0,0.0,0.0,26.1,24.9,-38.5,-0.17,0.03,42.49,0,23.05,1011.47,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197481.1452723,1.7442984580993652,1.68,2037108,0.0,0.0,0.99,0.0,0.0,0.0,26.0,25.0,-38.6,-0.17,0.03,42.5,0,23.03,1011.48,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197481.2416081,1.8406343460083008,1.723,2037151,0.0,0.0,0.99,0.0,0.0,0.0,26.0,25.0,-38.6,-0.17,0.03,42.5,0,23.03,1011.48,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197481.7390733,2.338099479675293,1.834,2037262,0.0,0.0,0.99,0.0,0.0,0.0,26.1,25.0,-38.5,-0.17,0.03,42.5,0,23.04,1011.48,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197481.8285584,2.427584648132324,1.954,2037382,0.0,0.0,0.99,0.0,0.0,0.0,26.1,24.8,-38.7,-0.17,0.03,42.5,0,23.03,1011.48,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197481.9151237,2.5141499042510986,2.007,2037435,0.0,0.0,0.99,0.0,0.0,0.0,26.1,24.8,-38.7,-0.17,0.03,42.5,0,23.03,1011.48,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197482.1496062,2.7486324310302734,2.092,2037520,0.0,0.0,0.99,0.0,0.0,0.0,26.4,25.0,-38.4,-0.17,0.03,42.5,0,23.02,1011.49,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197482.2459362,2.8449623584747314,2.171,2037599,0.0,0.0,0.99,0.0,0.0,0.0,26.4,25.0,-38.4,-0.17,0.03,42.5,0,23.01,1011.49,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197482.8929005,3.491926670074463,2.257,2037685,0.0,0.0,0.99,0.0,0.0,0.0,26.1,25.0,-38.2,-0.17,0.03,42.5,0,23.01,1011.49,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197483.0775676,3.676593780517578,3.386,2038814,0.0,0.0,0.99,0.0,0.0,0.0,26.1,25.0,-38.8,-0.17,0.03,42.5,0,23.02,1011.48,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197483.173835,3.7728612422943115,3.449,2038877,0.0,0.0,0.99,0.0,0.0,0.0,26.1,25.0,-38.8,-0.17,0.03,42.5,0,23.02,1011.48,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197483.2623456,3.8613717555999756,3.48,2038908,0.0,0.0,0.99,0.0,0.0,0.0,26.1,25.0,-38.8,-0.17,0.03,42.5,0,23.01,1011.48,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197483.900985,4.500011205673218,3.603,2039031,0.0,0.0,0.99,0.0,0.0,0.0,26.5,25.2,-38.9,-0.18,0.03,42.5,0,23.01,1011.49,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
1753197484.0812056,4.680231809616089,4.696,2040124,0.0,0.0,0.99,0.0,0.0,0.0,26.3,25.0,-38.5,-0.17,0.03,42.51,0,23.0,1011.49,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1
